CP;DEPARTEMENT;REGION
30,390;Gard;Languedoc-Roussillon-Midi-Pyrénées
26,390;Drôme;Auvergne-Rhône-Alpes
82,290;Tarn-et-Garonne;Languedoc-Roussillon-Midi-Pyrénées
88,200;Vosges;Alsace-Champagne-Ardenne-Lorraine
95,450;Val-d'oise;Ile-de-France
43,000;Haute-Loire;Auvergne-Rhône-Alpes
16,440;Charente;Aquitaine-Limousin-Poitou-Charentes
26,760;Drôme;Auvergne-Rhône-Alpes
91,670;Essonne;Ile-de-France
2,400;Aisne;Nord-Pas-de-Calais-Picardie
39,800;Jura;Bourgogne-Franche-Comté
53,600;Mayenne;Pays de la Loire
93,240;Seine-Saint-Denis;Ile-de-France
83,110;Var;Provence-Alpes-Côte d'Azur
31,620;Haute-Garonne;Languedoc-Roussillon-Midi-Pyrénées
60,000;Oise;Nord-Pas-de-Calais-Picardie
22,240;Côtes-d'armor;Bretagne
67,800;Bas-Rhin;Alsace-Champagne-Ardenne-Lorraine
81,500;Tarn;Languedoc-Roussillon-Midi-Pyrénées
71,960;Saône-et-Loire;Bourgogne-Franche-Comté
59,222;Nord;Nord-Pas-de-Calais-Picardie
95,731;Val-d'oise;Ile-de-France
6,700;Alpes-Maritimes;Provence-Alpes-Côte d'Azur
84,800;Vaucluse;Provence-Alpes-Côte d'Azur
59,460;Nord;Nord-Pas-de-Calais-Picardie
12,390;Aveyron;Languedoc-Roussillon-Midi-Pyrénées
62,310;Pas-de-Calais;Nord-Pas-de-Calais-Picardie
88,350;Vosges;Alsace-Champagne-Ardenne-Lorraine
77,200;Seine-et-Marne;Ile-de-France
22,800;Côtes-d'armor;Bretagne
69,730;Rhône;Auvergne-Rhône-Alpes
30,210;Gard;Languedoc-Roussillon-Midi-Pyrénées
85,800;Vendée;Pays de la Loire
21,600;Côte-d'or;Bourgogne-Franche-Comté
66,650;Pyrénées-Orientales;Languedoc-Roussillon-Midi-Pyrénées
24,480;Dordogne;Aquitaine-Limousin-Poitou-Charentes
38,210;Isre;Auvergne-Rhône-Alpes
34,680;Hérault;Languedoc-Roussillon-Midi-Pyrénées
31,800;Haute-Garonne;Languedoc-Roussillon-Midi-Pyrénées
59,166;Nord;Nord-Pas-de-Calais-Picardie
27,180;Eure;Normandie
22,440;Côtes-d'armor;Bretagne
34,770;Hérault;Languedoc-Roussillon-Midi-Pyrénées
78,490;Yvelines;Ile-de-France
83,240;Var;Provence-Alpes-Côte d'Azur
57,180;Moselle;Alsace-Champagne-Ardenne-Lorraine
83,440;Var;Provence-Alpes-Côte d'Azur
77,170;Seine-et-Marne;Ile-de-France
29,730;Finistre;Bretagne
38,850;Isre;Auvergne-Rhône-Alpes
31,840;Haute-Garonne;Languedoc-Roussillon-Midi-Pyrénées
45,510;Loiret;Centre-Val de Loire
44,270;Loire-Atlantique;Pays de la Loire
59,260;Nord;Nord-Pas-de-Calais-Picardie
94,110;Val-de-Marne;Ile-de-France
67,320;Bas-Rhin;Alsace-Champagne-Ardenne-Lorraine
95,600;Val-d'oise;Ile-de-France
54,110;Meurthe-et-Moselle;Alsace-Champagne-Ardenne-Lorraine
60,490;Oise;Nord-Pas-de-Calais-Picardie
33,520;Gironde;Aquitaine-Limousin-Poitou-Charentes
54,600;Meurthe-et-Moselle;Alsace-Champagne-Ardenne-Lorraine
95,200;Val-d'oise;Ile-de-France
67,330;Bas-Rhin;Alsace-Champagne-Ardenne-Lorraine
13,390;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur
90,000;Territoire de Belfort;Bourgogne-Franche-Comté
6,140;Alpes-Maritimes;Provence-Alpes-Côte d'Azur
48,700;Lozre;Languedoc-Roussillon-Midi-Pyrénées
76,430;Seine-Maritime;Normandie
68,420;Haut-Rhin;Alsace-Champagne-Ardenne-Lorraine
56,270;Morbihan;Bretagne
41,360;Loir-et-Cher;Centre-Val de Loire
42,340;Loire;Auvergne-Rhône-Alpes
77,220;Seine-et-Marne;Ile-de-France
91,130;Essonne;Ile-de-France
34,190;Hérault;Languedoc-Roussillon-Midi-Pyrénées
44,880;Loire-Atlantique;Pays de la Loire
69,380;Rhône;Auvergne-Rhône-Alpes
60,590;Oise;Nord-Pas-de-Calais-Picardie
72,300;Sarthe;Pays de la Loire
40,230;Landes;Aquitaine-Limousin-Poitou-Charentes
95,210;Val-d'oise;Ile-de-France
14,330;Calvados;Normandie
57,000;Moselle;Alsace-Champagne-Ardenne-Lorraine
1,100;Ain;Auvergne-Rhône-Alpes
62,300;Pas-de-Calais;Nord-Pas-de-Calais-Picardie
15,250;Cantal;Auvergne-Rhône-Alpes
71,590;Saône-et-Loire;Bourgogne-Franche-Comté
49,080;Maine-et-Loire;Pays de la Loire
56,200;Morbihan;Bretagne
59,238;Nord;Nord-Pas-de-Calais-Picardie
56,930;Morbihan;Bretagne
39,570;Jura;Bourgogne-Franche-Comté
29,270;Finistre;Bretagne
2,870;Aisne;Nord-Pas-de-Calais-Picardie
6,810;Alpes-Maritimes;Provence-Alpes-Côte d'Azur
37,240;Indre-et-Loire;Centre-Val de Loire
84,470;Vaucluse;Provence-Alpes-Côte d'Azur
73,290;Savoie;Auvergne-Rhône-Alpes
93,360;Seine-Saint-Denis;Ile-de-France
67,660;Bas-Rhin;Alsace-Champagne-Ardenne-Lorraine
44,400;Loire-Atlantique;Pays de la Loire
19,130;Corrze;Aquitaine-Limousin-Poitou-Charentes
77,130;Seine-et-Marne;Ile-de-France
27,300;Eure;Normandie
7,160;Ardche;Auvergne-Rhône-Alpes
78,690;Yvelines;Ile-de-France
29,710;Finistre;Bretagne
82,000;Tarn-et-Garonne;Languedoc-Roussillon-Midi-Pyrénées
13,580;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur
77,183;Seine-et-Marne;Ile-de-France
17,300;Charente-Maritime;Aquitaine-Limousin-Poitou-Charentes
86,200;Vienne;Aquitaine-Limousin-Poitou-Charentes
1,990;Ain;Auvergne-Rhône-Alpes
95,510;Val-d'oise;Ile-de-France
35,400;Ille-et-Vilaine;Bretagne
38,270;Isre;Auvergne-Rhône-Alpes
93,600;Seine-Saint-Denis;Ile-de-France
62,290;Pas-de-Calais;Nord-Pas-de-Calais-Picardie
78,580;Yvelines;Ile-de-France
60,680;Oise;Nord-Pas-de-Calais-Picardie
30,260;Gard;Languedoc-Roussillon-Midi-Pyrénées
78,710;Yvelines;Ile-de-France
49,330;Maine-et-Loire;Pays de la Loire
30,320;Gard;Languedoc-Roussillon-Midi-Pyrénées
29,900;Finistre;Bretagne
77,860;Seine-et-Marne;Ile-de-France
76,420;Seine-Maritime;Normandie
59,920;Nord;Nord-Pas-de-Calais-Picardie
85,130;Vendée;Pays de la Loire
91,100;Essonne;Ile-de-France
94,550;Val-de-Marne;Ile-de-France
33,170;Gironde;Aquitaine-Limousin-Poitou-Charentes
38,260;Isre;Auvergne-Rhône-Alpes
59,253;Nord;Nord-Pas-de-Calais-Picardie
59,310;Nord;Nord-Pas-de-Calais-Picardie
84,570;Vaucluse;Provence-Alpes-Côte d'Azur
26,100;Drôme;Auvergne-Rhône-Alpes
54,180;Meurthe-et-Moselle;Alsace-Champagne-Ardenne-Lorraine
76,210;Seine-Maritime;Normandie
7,300;Ardche;Auvergne-Rhône-Alpes
50,380;Manche;Normandie
3,120;Allier;Auvergne-Rhône-Alpes
78,370;Yvelines;Ile-de-France
80,100;Somme;Nord-Pas-de-Calais-Picardie
92,390;Hauts-de-Seine;Ile-de-France
21,440;Côte-d'or;Bourgogne-Franche-Comté
14,117;Calvados;Normandie
68,500;Haut-Rhin;Alsace-Champagne-Ardenne-Lorraine
67,240;Bas-Rhin;Alsace-Champagne-Ardenne-Lorraine
11,620;Aude;Languedoc-Roussillon-Midi-Pyrénées
69,600;Rhône;Auvergne-Rhône-Alpes
33,370;Gironde;Aquitaine-Limousin-Poitou-Charentes
36,000;Indre;Centre-Val de Loire
77,515;Seine-et-Marne;Ile-de-France
28,170;Eure-et-Loir;Centre-Val de Loire
59,740;Nord;Nord-Pas-de-Calais-Picardie
78,310;Yvelines;Ile-de-France
62,330;Pas-de-Calais;Nord-Pas-de-Calais-Picardie
76,120;Seine-Maritime;Normandie
30,170;Gard;Languedoc-Roussillon-Midi-Pyrénées
36,700;Indre;Centre-Val de Loire
71,500;Saône-et-Loire;Bourgogne-Franche-Comté
14,910;Calvados;Normandie
75,038;Paris;Ile-de-France
34,140;Hérault;Languedoc-Roussillon-Midi-Pyrénées
35,520;Ille-et-Vilaine;Bretagne
21,500;Côte-d'or;Bourgogne-Franche-Comté
67,206;Bas-Rhin;Alsace-Champagne-Ardenne-Lorraine
62,117;Pas-de-Calais;Nord-Pas-de-Calais-Picardie
33,780;Gironde;Aquitaine-Limousin-Poitou-Charentes
57,525;Moselle;Alsace-Champagne-Ardenne-Lorraine
95,390;Val-d'oise;Ile-de-France
55,100;Meuse;Alsace-Champagne-Ardenne-Lorraine
84,450;Vaucluse;Provence-Alpes-Côte d'Azur
95,370;Val-d'oise;Ile-de-France
93,230;Seine-Saint-Denis;Ile-de-France
7,100;Ardche;Auvergne-Rhône-Alpes
59,229;Nord;Nord-Pas-de-Calais-Picardie
66,740;Pyrénées-Orientales;Languedoc-Roussillon-Midi-Pyrénées
80,600;Somme;Nord-Pas-de-Calais-Picardie
91,280;Essonne;Ile-de-France
45,140;Loiret;Centre-Val de Loire
33,450;Gironde;Aquitaine-Limousin-Poitou-Charentes
51,500;Marne;Alsace-Champagne-Ardenne-Lorraine
31,700;Haute-Garonne;Languedoc-Roussillon-Midi-Pyrénées
55,210;Meuse;Alsace-Champagne-Ardenne-Lorraine
35,830;Ille-et-Vilaine;Bretagne
67,380;Bas-Rhin;Alsace-Champagne-Ardenne-Lorraine
84,500;Vaucluse;Provence-Alpes-Côte d'Azur
95,310;Val-d'oise;Ile-de-France
7,150;Ardche;Auvergne-Rhône-Alpes
78,230;Yvelines;Ile-de-France
45,750;Loiret;Centre-Val de Loire
38,460;Isre;Auvergne-Rhône-Alpes
33,850;Gironde;Aquitaine-Limousin-Poitou-Charentes
29,460;Finistre;Bretagne
66,250;Pyrénées-Orientales;Languedoc-Roussillon-Midi-Pyrénées
95,260;Val-d'oise;Ile-de-France
28,250;Eure-et-Loir;Centre-Val de Loire
85,500;Vendée;Pays de la Loire
37,300;Indre-et-Loire;Centre-Val de Loire
3,310;Allier;Auvergne-Rhône-Alpes
32,160;Gers;Languedoc-Roussillon-Midi-Pyrénées
13,780;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur
51,220;Marne;Alsace-Champagne-Ardenne-Lorraine
12,200;Aveyron;Languedoc-Roussillon-Midi-Pyrénées
63,270;Puy-de-Dôme;Auvergne-Rhône-Alpes
77,440;Seine-et-Marne;Ile-de-France
10,150;Aube;Alsace-Champagne-Ardenne-Lorraine
18,230;Cher;Centre-Val de Loire
74,700;Haute-Savoie;Auvergne-Rhône-Alpes
38,380;Isre;Auvergne-Rhône-Alpes
78,610;Yvelines;Ile-de-France
44,770;Loire-Atlantique;Pays de la Loire
74,230;Haute-Savoie;Auvergne-Rhône-Alpes
45,360;Loiret;Centre-Val de Loire
30,133;Gard;Languedoc-Roussillon-Midi-Pyrénées
14,680;Calvados;Normandie
95,460;Val-d'oise;Ile-de-France
38,930;Isre;Auvergne-Rhône-Alpes
10,140;Aube;Alsace-Champagne-Ardenne-Lorraine
26,190;Drôme;Auvergne-Rhône-Alpes
34,980;Hérault;Languedoc-Roussillon-Midi-Pyrénées
85,750;Vendée;Pays de la Loire
71,570;Saône-et-Loire;Bourgogne-Franche-Comté
71,270;Saône-et-Loire;Bourgogne-Franche-Comté
31,120;Haute-Garonne;Languedoc-Roussillon-Midi-Pyrénées
67,530;Bas-Rhin;Alsace-Champagne-Ardenne-Lorraine
81,160;Tarn;Languedoc-Roussillon-Midi-Pyrénées
71,290;Saône-et-Loire;Bourgogne-Franche-Comté
84,300;Vaucluse;Provence-Alpes-Côte d'Azur
58,270;Nivre;Bourgogne-Franche-Comté
44,620;Loire-Atlantique;Pays de la Loire
44,650;Loire-Atlantique;Pays de la Loire
62,600;Pas-de-Calais;Nord-Pas-de-Calais-Picardie
57,990;Moselle;Alsace-Champagne-Ardenne-Lorraine
94,470;Val-de-Marne;Ile-de-France
92,240;Hauts-de-Seine;Ile-de-France
40,990;Landes;Aquitaine-Limousin-Poitou-Charentes
59,230;Nord;Nord-Pas-de-Calais-Picardie
69,740;Rhône;Auvergne-Rhône-Alpes
67,460;Bas-Rhin;Alsace-Champagne-Ardenne-Lorraine
28,130;Eure-et-Loir;Centre-Val de Loire
37,360;Indre-et-Loire;Centre-Val de Loire
57,685;Moselle;Alsace-Champagne-Ardenne-Lorraine
47,210;Lot-et-Garonne;Aquitaine-Limousin-Poitou-Charentes
3,410;Allier;Auvergne-Rhône-Alpes
86,170;Vienne;Aquitaine-Limousin-Poitou-Charentes
85,680;Vendée;Pays de la Loire
33,127;Gironde;Aquitaine-Limousin-Poitou-Charentes
54,200;Meurthe-et-Moselle;Alsace-Champagne-Ardenne-Lorraine
59,490;Nord;Nord-Pas-de-Calais-Picardie
94,370;Val-de-Marne;Ile-de-France
4,200;Alpes-de-Haute-Provence;Provence-Alpes-Côte d'Azur
89,000;Yonne;Bourgogne-Franche-Comté
45,100;Loiret;Centre-Val de Loire
53,000;Mayenne;Pays de la Loire
86,550;Vienne;Aquitaine-Limousin-Poitou-Charentes
33,340;Gironde;Aquitaine-Limousin-Poitou-Charentes
34,360;Hérault;Languedoc-Roussillon-Midi-Pyrénées
54,710;Meurthe-et-Moselle;Alsace-Champagne-Ardenne-Lorraine
38,550;Isre;Auvergne-Rhône-Alpes
59,510;Nord;Nord-Pas-de-Calais-Picardie
94,360;Val-de-Marne;Ile-de-France
33,730;Gironde;Aquitaine-Limousin-Poitou-Charentes
33,185;Gironde;Aquitaine-Limousin-Poitou-Charentes
17,140;Charente-Maritime;Aquitaine-Limousin-Poitou-Charentes
14,790;Calvados;Normandie
72,200;Sarthe;Pays de la Loire
67,310;Bas-Rhin;Alsace-Champagne-Ardenne-Lorraine
77,184;Seine-et-Marne;Ile-de-France
62,730;Pas-de-Calais;Nord-Pas-de-Calais-Picardie
14,100;Calvados;Normandie
69,510;Rhône;Auvergne-Rhône-Alpes
76,690;Seine-Maritime;Normandie
84,400;Vaucluse;Provence-Alpes-Côte d'Azur
6,005;Alpes-Maritimes;Provence-Alpes-Côte d'Azur
76,190;Seine-Maritime;Normandie
7,140;Ardche;Auvergne-Rhône-Alpes
44,800;Loire-Atlantique;Pays de la Loire
72,460;Sarthe;Pays de la Loire
58,230;Nivre;Bourgogne-Franche-Comté
82,410;Tarn-et-Garonne;Languedoc-Roussillon-Midi-Pyrénées
69,490;Rhône;Auvergne-Rhône-Alpes
45,370;Loiret;Centre-Val de Loire
34,540;Hérault;Languedoc-Roussillon-Midi-Pyrénées
13,741;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur
67,570;Bas-Rhin;Alsace-Champagne-Ardenne-Lorraine
88,490;Vosges;Alsace-Champagne-Ardenne-Lorraine
59,610;Nord;Nord-Pas-de-Calais-Picardie
27,800;Eure;Normandie
25,620;Doubs;Bourgogne-Franche-Comté
34,270;Hérault;Languedoc-Roussillon-Midi-Pyrénées
76,500;Seine-Maritime;Normandie
91,730;Essonne;Ile-de-France
54,340;Meurthe-et-Moselle;Alsace-Champagne-Ardenne-Lorraine
78,331;Yvelines;Ile-de-France
31,560;Haute-Garonne;Languedoc-Roussillon-Midi-Pyrénées
61,360;Orne;Normandie
83,780;Var;Provence-Alpes-Côte d'Azur
91,460;Essonne;Ile-de-France
63,570;Puy-de-Dôme;Auvergne-Rhône-Alpes
59,554;Nord;Nord-Pas-de-Calais-Picardie
41,200;Loir-et-Cher;Centre-Val de Loire
76,230;Seine-Maritime;Normandie
89,560;Yonne;Bourgogne-Franche-Comté
40,410;Landes;Aquitaine-Limousin-Poitou-Charentes
83,840;Var;Provence-Alpes-Côte d'Azur
35,500;Ille-et-Vilaine;Bretagne
25,200;Doubs;Bourgogne-Franche-Comté
2,590;Aisne;Nord-Pas-de-Calais-Picardie
86,180;Vienne;Aquitaine-Limousin-Poitou-Charentes
57,120;Moselle;Alsace-Champagne-Ardenne-Lorraine
79,000;Deux-Svres;Aquitaine-Limousin-Poitou-Charentes
50,700;Manche;Normandie
44,980;Loire-Atlantique;Pays de la Loire
29,470;Finistre;Bretagne
71,330;Saône-et-Loire;Bourgogne-Franche-Comté
59,650;Nord;Nord-Pas-de-Calais-Picardie
34,390;Hérault;Languedoc-Roussillon-Midi-Pyrénées
59,136;Nord;Nord-Pas-de-Calais-Picardie
31,150;Haute-Garonne;Languedoc-Roussillon-Midi-Pyrénées
13,210;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur
91,250;Essonne;Ile-de-France
59,116;Nord;Nord-Pas-de-Calais-Picardie
54,490;Meurthe-et-Moselle;Alsace-Champagne-Ardenne-Lorraine
8,274;Ardennes;Alsace-Champagne-Ardenne-Lorraine
3,110;Allier;Auvergne-Rhône-Alpes
33,270;Gironde;Aquitaine-Limousin-Poitou-Charentes
57,645;Moselle;Alsace-Champagne-Ardenne-Lorraine
38,750;Isre;Auvergne-Rhône-Alpes
78,650;Yvelines;Ile-de-France
31,290;Haute-Garonne;Languedoc-Roussillon-Midi-Pyrénées
57,280;Moselle;Alsace-Champagne-Ardenne-Lorraine
17,350;Charente-Maritime;Aquitaine-Limousin-Poitou-Charentes
26,600;Drôme;Auvergne-Rhône-Alpes
33,380;Gironde;Aquitaine-Limousin-Poitou-Charentes
68,570;Haut-Rhin;Alsace-Champagne-Ardenne-Lorraine
17,100;Charente-Maritime;Aquitaine-Limousin-Poitou-Charentes
30,360;Gard;Languedoc-Roussillon-Midi-Pyrénées
13,820;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur
68,210;Haut-Rhin;Alsace-Champagne-Ardenne-Lorraine
68,130;Haut-Rhin;Alsace-Champagne-Ardenne-Lorraine
2,260;Aisne;Nord-Pas-de-Calais-Picardie
56,260;Morbihan;Bretagne
69,450;Rhône;Auvergne-Rhône-Alpes
67,116;Bas-Rhin;Alsace-Champagne-Ardenne-Lorraine
38,340;Isre;Auvergne-Rhône-Alpes
45,160;Loiret;Centre-Val de Loire
75,761;Paris;Ile-de-France
44,390;Loire-Atlantique;Pays de la Loire
73,800;Savoie;Auvergne-Rhône-Alpes
22,660;Côtes-d'armor;Bretagne
79,100;Deux-Svres;Aquitaine-Limousin-Poitou-Charentes
19,270;Corrze;Aquitaine-Limousin-Poitou-Charentes
75,039;Paris;Ile-de-France
27,120;Eure;Normandie
12,330;Aveyron;Languedoc-Roussillon-Midi-Pyrénées
26,380;Drôme;Auvergne-Rhône-Alpes
13,286;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur
11,717;Aude;Languedoc-Roussillon-Midi-Pyrénées
29,630;Finistre;Bretagne
57,950;Moselle;Alsace-Champagne-Ardenne-Lorraine
62,970;Pas-de-Calais;Nord-Pas-de-Calais-Picardie
62,110;Pas-de-Calais;Nord-Pas-de-Calais-Picardie
63,680;Puy-de-Dôme;Auvergne-Rhône-Alpes
48,000;Lozre;Languedoc-Roussillon-Midi-Pyrénées
34,730;Hérault;Languedoc-Roussillon-Midi-Pyrénées
13,480;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur
71,140;Saône-et-Loire;Bourgogne-Franche-Comté
56,800;Morbihan;Bretagne
44,640;Loire-Atlantique;Pays de la Loire
59,380;Nord;Nord-Pas-de-Calais-Picardie
44,170;Loire-Atlantique;Pays de la Loire
41,500;Loir-et-Cher;Centre-Val de Loire
56,320;Morbihan;Bretagne
73,410;Savoie;Auvergne-Rhône-Alpes
38,540;Isre;Auvergne-Rhône-Alpes
22,220;Côtes-d'armor;Bretagne
66,200;Pyrénées-Orientales;Languedoc-Roussillon-Midi-Pyrénées
27,610;Eure;Normandie
95,650;Val-d'oise;Ile-de-France
83,310;Var;Provence-Alpes-Côte d'Azur
