B_ID;SEXE;REGIME_SOCIAL
23,273;Femme;G
32,451;Homme;A
28,252;Femme;A
4,054;Femme;G
15,536;Homme;G
9,861;Homme;A
27,447;Femme;G
38,608;Femme;A
40,714;Femme;G
44,419;Femme;A
51,649;Homme;G
42,827;Femme;G
30,130;Femme;G
47,164;Femme;G
41,486;Homme;A
13,224;Homme;A
11,459;Homme;A
19,162;Femme;G
47,922;Femme;G
9,969;Femme;G
7,494;Homme;G
29,976;Femme;G
50,784;Femme;G
51,827;Femme;G
28,611;Homme;A
2,700;Homme;A
21,211;Femme;A
7,298;Femme;G
11,738;Homme;A
20,454;Femme;G
24,882;Homme;G
33,830;Femme;A
20,769;Femme;G
21,316;Homme;A
36,102;Femme;A
25,279;Femme;A
29,177;Femme;A
42,790;Femme;G
7,190;Femme;G
42,596;Homme;G
13,682;Homme;A
14,585;Homme;G
48,065;Homme;G
18,592;Femme;G
2,409;Homme;G
35,124;Femme;L
51,083;Femme;G
10,787;Femme;G
26,185;Homme;G
32,556;Homme;G
39,261;Homme;G
41,239;Femme;A
2,871;Homme;A
30,480;Femme;G
34,282;Homme;A
20,788;Homme;A
15,639;Femme;A
11,430;Homme;G
9,970;Homme;G
16,280;Femme;A
1,959;Homme;L
12,446;Femme;A
43,499;Homme;G
30,960;Homme;A
50,299;Femme;G
17,784;Homme;A
24,887;Homme;G
40,721;Homme;A
16,300;Homme;A
23,901;Homme;G
45,461;Femme;G
19,732;Homme;A
43,750;Homme;G
15,463;Femme;G
38,675;Homme;A
46,791;Femme;G
50,124;Femme;G
40,743;Homme;G
42,950;Homme;A
3,365;Femme;G
41,764;Homme;A
44,291;Homme;G
38,810;Homme;G
10,713;Femme;G
13,919;Femme;G
28,699;Homme;A
44,759;Femme;G
29,491;Femme;G
13,591;Femme;G
4,523;Femme;G
48,057;Femme;G
11,074;Femme;G
48,021;Femme;G
882;Homme;A
21,591;Homme;A
45,114;Homme;G
19,430;Femme;G
32,375;Femme;A
24,618;Homme;A
42,416;Homme;A
9,576;Femme;G
36,033;Femme;A
1,222;Homme;A
11,087;Homme;G
46,346;Femme;G
45,913;Femme;G
36,727;Femme;A
43,224;Homme;A
38,386;Homme;G
48,069;Femme;G
30,399;Homme;G
52,141;Femme;A
11,199;Homme;G
14,009;Femme;A
24,605;Femme;A
8,420;Homme;A
5,484;Femme;G
13,500;Homme;G
24,109;Femme;G
42,120;Homme;G
12,453;Femme;G
47,288;Homme;G
23,491;Femme;A
38,839;Homme;A
50,073;Homme;A
50,804;Femme;A
8,616;Femme;G
33,518;Homme;G
12,795;Femme;G
46,218;Homme;G
44,724;Homme;A
11,940;Femme;A
23,734;Homme;A
3,911;Homme;G
45,477;Homme;G
45,916;Femme;G
43,605;Homme;G
48,314;Homme;A
34,782;Homme;G
39,332;Femme;A
5,971;Homme;L
35,873;Homme;G
46,833;Homme;A
46,712;Homme;G
15,561;Femme;G
41,601;Homme;A
11,477;Femme;A
15,174;Homme;A
39,612;Homme;G
7,565;Femme;G
16,340;Femme;G
42,421;Homme;G
47,681;Homme;G
4,806;Femme;G
15,190;Homme;G
34,050;Femme;G
1,730;Femme;G
19,264;Femme;G
46,096;Homme;G
51,800;Homme;G
52,149;Homme;A
44,349;Homme;A
29,220;Homme;G
5,298;Femme;A
3,284;Femme;G
9,057;Homme;A
37,154;Femme;G
4,428;Homme;A
24,492;Femme;A
22,967;Femme;A
28,502;Homme;A
40,939;Homme;G
47,102;Homme;G
30,283;Femme;G
23,305;Homme;A
44,866;Homme;G
13,511;Femme;A
37,853;Homme;G
39,653;Homme;G
39,899;Homme;G
42,103;Femme;G
34,743;Homme;A
4,514;Femme;A
25,795;Femme;G
48,296;Homme;G
35,310;Homme;G
33,219;Femme;A
2,698;Homme;A
29,858;Femme;G
45,839;Femme;A
50,041;Homme;A
10,143;Homme;A
6,879;Homme;A
16,822;Homme;G
20,150;Femme;A
52,102;Femme;G
20,620;Femme;A
434;Femme;G
26,520;Homme;G
5,263;Femme;G
6,525;Femme;G
51,110;Homme;G
39,841;Femme;G
51,686;Femme;A
38,330;Femme;G
35,822;Homme;G
51,564;Homme;G
47,464;Homme;G
8,041;Homme;A
29,236;Femme;A
45,287;Homme;A
29,951;Homme;G
38,313;Homme;G
3,902;Femme;A
6,606;Femme;G
23,565;Femme;A
132;Femme;A
4,996;Homme;G
23,626;Homme;G
37,533;Homme;G
31,410;Homme;A
31,786;Femme;G
14,104;Homme;G
21,927;Femme;G
42,728;Homme;A
47,123;Femme;G
50,838;Femme;A
24,410;Femme;A
44,690;Homme;G
28,926;Homme;A
29,319;Homme;G
2,214;Femme;G
10,558;Homme;G
30,800;Homme;G
7,538;Femme;G
14,698;Homme;G
12,964;Homme;A
1,478;Homme;G
39,115;Femme;A
3,147;Homme;A
18,215;Femme;G
38,271;Homme;A
24,721;Homme;G
34,922;Homme;A
29,028;Homme;A
13,545;Femme;A
13,540;Femme;G
17,117;Femme;A
8,537;Homme;A
34,776;Femme;G
34,221;Femme;G
13,606;Femme;G
39,711;Femme;G
45,420;Femme;G
16,186;Femme;L
46,081;Femme;G
27,557;Femme;G
36,966;Homme;A
15,429;Femme;G
15,795;Femme;G
31,055;Homme;G
5,448;Femme;A
51,514;Femme;G
45,528;Femme;G
5,957;Homme;A
38,495;Femme;G
13,579;Homme;G
1,333;Homme;G
32,148;Homme;G
12,803;Femme;G
17,510;Homme;A
35,461;Homme;A
51,439;Homme;G
21,809;Femme;G
29,112;Femme;G
5,189;Homme;A
17,826;Homme;G
3,963;Femme;G
21,712;Homme;G
22,628;Homme;G
26,563;Femme;G
23,799;Homme;A
17,500;Femme;A
7,641;Homme;A
39,651;Homme;G
7,843;Femme;G
49,773;Homme;D
3,124;Homme;G
16,328;Homme;A
3,474;Femme;G
47,395;Femme;A
33,037;Homme;G
42,332;Femme;G
39,760;Femme;G
20,375;Femme;G
13,712;Homme;G
50,968;Homme;A
3,460;Femme;G
15,058;Femme;A
11,671;Femme;G
22,280;Femme;G
35,842;Homme;G
52,222;Femme;G
45,765;Homme;G
28,815;Homme;A
34,463;Homme;G
6,003;Homme;G
25,351;Homme;G
16,333;Femme;G
23,757;Homme;G
36,213;Homme;G
10,517;Homme;A
13,953;Homme;G
23,441;Femme;G
22,410;Homme;A
11,476;Femme;G
38,221;Femme;A
22,160;Femme;G
35,752;Homme;A
4,775;Homme;G
8,208;Femme;G
29,113;Femme;G
14,170;Femme;G
26,562;Femme;G
745;Homme;A
29,825;Femme;G
32,464;Homme;A
26,147;Homme;A
2,110;Femme;A
32,972;Femme;A
22,234;Homme;G
13,452;Femme;A
46,029;Femme;G
3,984;Homme;A
23,832;Homme;A
16,846;Homme;L
25,797;Femme;G
5,322;Femme;G
33,950;Femme;G
24,196;Femme;D
36,709;Homme;G
43,617;Homme;G
34,864;Femme;G
49,664;Femme;G
49,752;Homme;G
9,828;Homme;A
21,860;Homme;G
29,346;Femme;G
37,735;Femme;G
32,059;Homme;A
5,477;Femme;A
44,046;Femme;G
537;Homme;G
35,615;Femme;G
28,556;Homme;G
41,366;Femme;A
42,499;Femme;A
1,652;Femme;G
34,288;Homme;G
33,537;Homme;A
37,839;Homme;A
32,295;Femme;G
49,801;Femme;G
4,407;Femme;L
38,542;Homme;A
22,992;Femme;G
2,345;Femme;G
16,424;Homme;A
17,653;Femme;G
50,581;Femme;G
27,979;Homme;A
1,953;Femme;A
22,209;Femme;G
26,729;Femme;A
8,180;Femme;G
47,524;Femme;G
48,347;Homme;G
24,110;Homme;G
31,732;Femme;G
10,085;Homme;G
28,004;Femme;A
50,068;Homme;G
51,665;Femme;G
9,605;Homme;A
18,158;Femme;A
19,963;Homme;G
34,175;Homme;G
32,920;Homme;A
4,475;Homme;G
45,230;Homme;G
52,024;Homme;G
1,291;Femme;G
29,354;Femme;G
25,368;Femme;G
2,699;Homme;A
4,198;Homme;G
12,378;Homme;A
47,952;Femme;A
39,030;Femme;G
10,986;Homme;G
27,239;Femme;G
4,895;Femme;A
17,729;Femme;A
40,859;Homme;A
49,456;Femme;G
2,452;Homme;G
46,567;Homme;A
19,555;Femme;G
26,776;Homme;D
19,001;Homme;G
51,051;Femme;G
8,435;Homme;A
4,651;Homme;A
45,502;Femme;A
34,121;Homme;G
23,069;Homme;G
37,798;Homme;A
50,779;Homme;G
35,788;Femme;A
21,655;Homme;A
22,402;Homme;G
32,299;Homme;G
7,778;Femme;G
48,756;Homme;G
23,529;Femme;A
33,267;Femme;G
39,017;Femme;G
50,252;Femme;G
42,919;Homme;G
42,271;Femme;A
14,072;Homme;G
49,105;Femme;G
49,964;Femme;G
14,720;Homme;G
21,210;Homme;A
15,469;Femme;A
24,489;Homme;D
28,881;Homme;G
27,714;Femme;G
43,758;Femme;A
7,356;Femme;G
42,994;Homme;G
9,599;Homme;G
13,759;Femme;G
43,458;Femme;G
1,606;Homme;G
51,090;Homme;G
10,632;Homme;G
28,829;Femme;G
43,923;Homme;A
46,832;Homme;A
9,417;Homme;G
15,822;Homme;A
5,506;Homme;G
9,929;Femme;G
32,050;Homme;A
34,037;Femme;G
40,876;Homme;G
11,804;Homme;A
26,347;Femme;A
20,786;Homme;G
33,543;Homme;G
36,571;Femme;A
19,204;Homme;G
39,461;Femme;G
44,301;Homme;D
18,315;Homme;G
44,051;Homme;A
1,264;Homme;G
32,729;Homme;G
36,354;Homme;G
13,361;Femme;A
7,853;Femme;G
40,578;Homme;G
14,125;Homme;A
40,302;Homme;A
8,025;Homme;A
20,075;Femme;A
29,653;Homme;G
23,853;Homme;A
44,543;Femme;G
44,780;Femme;G
11,083;Homme;A
2,577;Femme;G
34,497;Homme;G
45,423;Homme;G
38,809;Femme;G
37,625;Femme;A
14,777;Femme;A
34,608;Homme;A
12,587;Femme;G
21,121;Femme;G
24,820;Femme;A
10,754;Femme;G
38,723;Homme;G
28,153;Homme;G
39,314;Femme;G
15,965;Femme;A
27,321;Homme;A
17,951;Femme;G
34,091;Femme;A
11,932;Homme;A
27,685;Femme;G
50,880;Femme;G
19,009;Femme;G
3,489;Femme;A
31,241;Femme;A
29,840;Homme;A
38,733;Homme;G
28,221;Homme;G
7,601;Femme;G
31,620;Femme;A
1,716;Femme;G
21,819;Femme;G
38,678;Femme;A
9,068;Homme;A
12,054;Femme;G
44,265;Homme;A
9,452;Homme;D
10,472;Femme;G
38,762;Homme;A
23,621;Femme;G
31,441;Femme;G
11,184;Femme;A
22,454;Homme;G
26,494;Femme;G
33,506;Femme;G
29,090;Homme;G
13,639;Femme;A
48,873;Homme;D
35,983;Homme;G
51,485;Femme;A
24,433;Homme;A
19,606;Femme;G
41,022;Homme;G
4,763;Femme;G
16,798;Homme;A
36,505;Femme;G
18,484;Femme;G
10,076;Femme;G
31,373;Homme;G
50,747;Femme;G
15,972;Homme;A
36,751;Homme;G
2,019;Homme;G
40,459;Femme;G
1,610;Femme;G
7,859;Femme;A
16,969;Homme;G
5,204;Femme;L
15,615;Femme;G
25,624;Femme;A
1,275;Homme;G
16,087;Homme;A
34,629;Femme;G
4,089;Homme;G
37,198;Femme;A
35,234;Femme;G
25,812;Femme;G
10,514;Homme;A
27,360;Homme;A
9,971;Femme;G
38,139;Femme;G
23,669;Femme;A
46,552;Homme;G
18,748;Homme;A
10,230;Homme;G
36,328;Homme;G
7,669;Homme;G
37,260;Femme;G
31,876;Femme;G
9,661;Homme;A
17,608;Homme;A
32,107;Homme;A
51,297;Femme;G
11,071;Femme;A
11,328;Femme;G
14,348;Homme;G
45,559;Homme;A
10,430;Homme;A
33,278;Femme;A
14,582;Femme;G
47,386;Homme;A
52,077;Femme;G
7,227;Femme;A
42,480;Homme;G
40,662;Femme;A
6,585;Homme;G
14,469;Femme;G
6,674;Homme;G
45,687;Homme;G
10,698;Homme;G
37,360;Femme;G
2,520;Femme;A
21,579;Femme;A
2,827;Femme;G
5,284;Femme;A
6,447;Homme;A
29,117;Homme;A
51,496;Homme;A
39,187;Femme;G
5,369;Homme;A
20,771;Homme;G
31,935;Homme;G
45,696;Femme;G
33,851;Femme;G
46,376;Femme;A
17,241;Homme;A
39,048;Homme;A
14,371;Homme;G
38,743;Homme;A
12,089;Homme;A
42,461;Femme;A
841;Femme;G
30,288;Homme;L
41,772;Femme;G
42,922;Femme;A
16,596;Homme;A
7,439;Homme;A
41,963;Homme;A
49,452;Homme;G
11,953;Homme;A
8,473;Homme;G
14,860;Homme;G
35,026;Femme;L
20,434;Homme;G
32,019;Femme;G
52,048;Femme;G
34,062;Femme;G
40,086;Homme;A
50,798;Homme;G
13,399;Femme;A
30,084;Homme;G
20,367;Femme;G
4,222;Homme;G
7,352;Femme;G
47,167;Homme;G
43,952;Homme;G
14,090;Homme;A
9,796;Homme;A
34,427;Femme;G
7,133;Homme;A
9,937;Homme;G
5,647;Homme;G
33,274;Homme;A
35,082;Femme;G
6,639;Homme;L
17,169;Femme;A
23,513;Femme;G
14,615;Homme;G
14,653;Femme;G
15,622;Homme;A
21,763;Homme;A
48,264;Homme;G
51,076;Femme;G
28,030;Femme;A
19,536;Femme;A
22,393;Femme;G
28,117;Femme;G
6,722;Femme;G
24,159;Femme;G
34,336;Femme;G
37,309;Femme;G
22,259;Femme;A
41,524;Homme;A
19,112;Homme;G
19,982;Homme;A
21,002;Homme;G
38,959;Femme;A
30,330;Homme;G
45,136;Femme;G
30,323;Femme;G
41,812;Femme;A
2,394;Homme;A
16,195;Homme;L
28,437;Homme;G
33,943;Homme;G
38,199;Femme;A
17,219;Femme;L
46,581;Homme;G
3,490;Femme;G
35,835;Femme;G
1,455;Homme;A
22,306;Femme;G
47,104;Homme;G
4,223;Homme;G
11,187;Homme;G
37,017;Femme;G
4;Homme;G
18,115;Femme;G
29,555;Homme;G
23,828;Homme;G
13,480;Femme;G
25,954;Homme;A
6,740;Homme;A
40,579;Homme;G
21,124;Homme;A
651;Femme;G
1,239;Homme;A
4,822;Homme;G
42,284;Femme;G
36,214;Femme;G
35,993;Homme;A
19,543;Homme;A
32,847;Homme;G
22,074;Femme;G
40,249;Femme;A
48,690;Femme;G
8,608;Femme;G
14,156;Femme;G
32,763;Homme;A
22,739;Homme;A
10,655;Homme;A
25,622;Homme;A
27,161;Femme;G
9,054;Homme;A
9,069;Femme;G
38,998;Homme;A
41,839;Homme;A
9,248;Homme;G
31,185;Homme;A
10,284;Homme;A
17,274;Homme;G
48,513;Homme;A
36,648;Homme;G
27,784;Femme;A
37,960;Femme;G
12,149;Femme;G
14,134;Femme;A
42,546;Femme;G
45,734;Femme;G
25,332;Femme;G
5,240;Femme;A
31,683;Femme;G
35,005;Femme;L
19,415;Femme;G
32,407;Homme;A
50,665;Homme;A
14,214;Homme;A
16,551;Homme;G
28,530;Femme;A
19,793;Femme;G
12,911;Femme;G
50,791;Femme;G
23,520;Femme;G
22,873;Femme;A
14,193;Femme;G
11,105;Homme;A
22,005;Homme;G
44,325;Femme;G
23,091;Homme;G
7,716;Femme;A
32,697;Femme;A
40,156;Femme;G
28,547;Femme;G
45,789;Femme;G
16,109;Homme;A
4,397;Femme;A
42,269;Femme;A
47,331;Homme;G
52,126;Homme;A
34,072;Femme;A
26,626;Homme;A
27,544;Homme;A
38,316;Femme;G
5,370;Femme;A
16,117;Femme;A
8,715;Femme;A
44,658;Homme;G
10,000;Femme;G
2,403;Homme;G
29,642;Femme;G
42,199;Homme;A
28,199;Homme;A
30,076;Femme;G
6,583;Femme;G
20,532;Femme;G
17,822;Femme;G
2,911;Homme;A
16,423;Femme;A
16,764;Femme;G
20,991;Femme;A
19,081;Homme;G
23,174;Homme;A
23,232;Femme;A
42,447;Homme;A
30,817;Homme;A
16,726;Homme;A
24,090;Femme;G
33,347;Homme;G
47,063;Femme;A
5,463;Femme;G
5,711;Homme;G
29,473;Femme;A
39,550;Femme;G
8,240;Femme;G
31,668;Femme;A
41,864;Femme;G
13,249;Homme;A
27,747;Femme;A
34,577;Femme;L
3,780;Homme;G
28,775;Femme;A
31,318;Homme;A
12,711;Homme;A
48,645;Femme;G
11,994;Femme;G
21,134;Femme;G
1,585;Homme;A
27,808;Femme;G
33,196;Homme;A
35,782;Femme;G
12,239;Homme;G
41,599;Homme;A
41,693;Femme;G
34,065;Homme;A
42,623;Femme;G
46,221;Femme;G
17,513;Homme;A
35,980;Femme;G
11,774;Femme;G
51,933;Femme;G
35,125;Homme;L
1,756;Homme;A
49,451;Femme;G
50,660;Homme;G
2,692;Femme;A
46,483;Femme;A
21,052;Homme;G
169;Homme;A
22,524;Homme;G
49,722;Homme;G
50,579;Homme;G
17,879;Homme;A
43,645;Femme;G
19,577;Homme;A
32,660;Femme;G
43,013;Homme;A
32,505;Homme;G
37,340;Homme;A
35,181;Femme;G
6,031;Femme;A
30,673;Homme;A
43,597;Femme;L
31,338;Homme;G
51,782;Homme;G
5,540;Femme;A
17,972;Homme;G
596;Femme;G
17,709;Homme;G
29,501;Femme;G
5,417;Homme;A
8,690;Femme;G
15,798;Femme;A
40,231;Homme;G
225;Homme;G
27,904;Homme;A
3,826;Femme;G
8,704;Femme;G
48,675;Femme;G
108;Femme;A
2,560;Homme;G
13,263;Femme;G
13,699;Homme;A
15,914;Homme;A
19,548;Femme;G
37,220;Femme;A
2,012;Femme;G
48,072;Femme;G
14,490;Femme;G
2,351;Femme;A
25,703;Homme;G
34,004;Homme;A
50,359;Femme;G
46,965;Homme;G
19,563;Femme;G
28,516;Homme;A
30,208;Homme;G
16,123;Femme;G
46,543;Homme;G
43,264;Homme;A
1,017;Femme;A
47,261;Femme;A
12,776;Homme;A
14,650;Femme;G
25,115;Homme;G
48,324;Homme;G
22,702;Femme;G
32,309;Femme;G
44,840;Femme;G
40,532;Homme;G
17,785;Femme;A
32,978;Homme;G
45,142;Femme;G
1,086;Homme;A
9,050;Homme;G
3,206;Homme;A
51,804;Femme;G
48,539;Femme;G
12,102;Homme;A
12,289;Homme;A
50,873;Femme;G
26,032;Femme;G
4,051;Homme;A
18,191;Femme;G
34,762;Homme;A
14,265;Homme;G
48,110;Femme;A
7,364;Homme;A
51,731;Femme;G
14,834;Femme;G
10,541;Femme;G
12,185;Homme;G
27,373;Femme;G
41,460;Femme;G
1,036;Homme;A
40,548;Femme;G
10,410;Homme;G
14,878;Femme;G
15,403;Femme;G
12,053;Femme;A
33,566;Homme;G
49,029;Homme;G
18,725;Femme;G
34,067;Femme;G
944;Homme;A
21,948;Homme;G
12,817;Femme;G
13,624;Femme;A
8,461;Femme;G
35,045;Femme;A
8,869;Femme;A
15,320;Femme;G
20,438;Femme;G
26,063;Femme;G
42,240;Femme;G
7,388;Femme;G
50,180;Homme;G
12,884;Femme;A
21,645;Femme;A
27,079;Homme;G
6,056;Femme;A
19,590;Homme;G
31,776;Homme;D
24,157;Homme;G
14,505;Homme;G
31,645;Femme;G
869;Femme;G
11,791;Femme;G
35;Homme;A
42,283;Femme;G
34,710;Femme;A
30,499;Homme;G
33,173;Homme;G
50,257;Homme;A
3,029;Femme;A
22,693;Femme;A
9,081;Femme;G
13,183;Femme;A
10,469;Homme;G
23,549;Homme;A
40,020;Femme;A
19,925;Femme;G
37,113;Homme;G
39,978;Femme;A
52,145;Homme;G
21,844;Femme;G
33,859;Homme;G
27,918;Homme;A
36,681;Femme;G
26,705;Femme;A
27,238;Homme;A
9,300;Femme;A
16,067;Femme;G
31,982;Homme;G
2,152;Homme;A
34,078;Homme;A
44,305;Femme;G
15,067;Femme;G
9,941;Homme;G
30,555;Femme;A
38,919;Homme;G
43,131;Homme;G
27,907;Homme;A
7,372;Femme;G
50,018;Homme;G
27,133;Homme;A
40,996;Homme;G
28,744;Homme;G
47,747;Femme;G
32,989;Homme;G
5,513;Homme;A
23,406;Femme;G
24,223;Homme;A
2,153;Femme;A
4,947;Homme;G
34,984;Homme;G
51,676;Femme;G
20,264;Homme;G
44,886;Homme;A
51,000;Femme;G
11,152;Homme;G
11,279;Femme;G
26,365;Femme;G
30,662;Femme;G
29,432;Homme;A
31,957;Homme;G
23,084;Homme;G
4,106;Femme;G
21,374;Femme;D
4,575;Homme;A
43,876;Femme;G
34,130;Homme;G
17,091;Femme;G
45,385;Homme;G
37,579;Femme;G
47,556;Homme;G
11,980;Femme;G
19,515;Femme;G
15,450;Femme;G
29,498;Homme;G
31,705;Femme;A
37,000;Homme;A
39,329;Homme;G
30,248;Femme;A
39,117;Homme;A
43,752;Homme;G
41,809;Homme;A
29,914;Femme;A
4,158;Femme;G
19,349;Homme;G
30,736;Homme;G
36,123;Homme;G
30,600;Homme;G
40,130;Femme;G
19,007;Femme;G
41,187;Homme;A
5,610;Femme;A
29,764;Femme;A
37,493;Femme;G
18,487;Femme;A
39,478;Femme;A
46,003;Homme;G
15,226;Femme;A
7,076;Femme;G
29,721;Homme;A
37,158;Homme;G
33,536;Femme;G
37,965;Femme;G
23,335;Homme;A
25,820;Femme;A
26,183;Homme;G
50,107;Homme;G
7,885;Homme;A
18,734;Homme;G
19,774;Homme;G
27,953;Homme;G
32,168;Homme;G
519;Femme;G
41,427;Femme;G
13,718;Homme;A
40,108;Homme;A
7,457;Femme;G
29,458;Homme;G
16,029;Femme;G
31,098;Femme;G
9,451;Femme;A
656;Femme;G
16,369;Femme;G
41,129;Homme;G
791;Homme;A
49,019;Femme;G
44,256;Homme;G
38,140;Homme;G
21,226;Femme;G
39,484;Homme;G
5,665;Femme;G
29,622;Femme;G
18,897;Homme;G
46,964;Homme;G
8,776;Femme;A
13,112;Femme;A
31,153;Femme;A
5,387;Femme;G
44,997;Homme;G
49,363;Femme;G
47,182;Femme;G
14,528;Femme;G
5,270;Femme;A
9,304;Homme;G
48,440;Homme;G
1,059;Homme;G
7,026;Homme;A
42,017;Femme;G
26,421;Femme;G
28,383;Femme;G
10,121;Homme;G
36,534;Femme;G
14,870;Homme;G
11,035;Femme;A
24,742;Femme;L
35,103;Femme;G
20,703;Homme;G
51,926;Homme;G
49,681;Femme;A
14,206;Femme;G
13,797;Femme;G
9,084;Homme;G
37,534;Homme;G
21,417;Homme;G
25,063;Femme;A
11,298;Femme;G
50,024;Femme;G
12,908;Homme;A
12,622;Homme;G
32,976;Homme;G
8,884;Femme;G
18,827;Homme;G
14,252;Homme;G
15,042;Femme;G
49,183;Homme;G
27,524;Femme;G
22,065;Femme;G
43,357;Femme;A
39,169;Femme;G
4,115;Homme;G
10,206;Femme;A
43,313;Homme;G
39,791;Femme;G
45,025;Homme;G
46,342;Femme;G
6,806;Femme;G
30,199;Femme;A
36,256;Homme;G
12,106;Femme;A
10,473;Femme;G
16,315;Homme;A
48,226;Homme;G
14,625;Femme;G
7,149;Homme;G
21,960;Homme;A
8,433;Femme;A
25,167;Homme;G
26,164;Femme;G
30,649;Homme;G
1,895;Homme;A
35,913;Homme;A
1,904;Homme;A
45,115;Homme;G
46,459;Homme;G
21,918;Femme;G
33,214;Homme;A
44,957;Femme;A
40,960;Femme;G
43,237;Homme;G
37,890;Homme;G
20,614;Homme;A
24,123;Femme;G
26,686;Femme;A
48,585;Femme;G
26,084;Femme;G
45,940;Femme;A
771;Homme;G
12,854;Homme;G
29,563;Femme;G
34,465;Femme;G
36,839;Femme;G
21,586;Femme;G
28,747;Homme;A
29,426;Femme;G
47,827;Homme;G
15,804;Homme;A
28,193;Femme;A
515;Femme;A
4,078;Homme;A
30,740;Homme;A
18,381;Femme;G
46,010;Femme;G
46,665;Femme;A
1,370;Femme;G
19,817;Femme;G
27,780;Femme;G
30,387;Femme;A
43,408;Homme;A
28,535;Homme;D
12,421;Femme;G
38,015;Femme;G
50,154;Femme;G
43,443;Homme;G
51,081;Homme;G
27,981;Femme;A
48,895;Femme;A
20,124;Femme;A
39,861;Femme;G
9,328;Femme;A
28,369;Femme;G
38,972;Femme;G
9,838;Homme;G
50,473;Femme;A
23,994;Femme;G
5,031;Femme;L
24,571;Homme;A
40,997;Homme;G
538;Homme;G
7,660;Femme;G
21,142;Femme;G
50,981;Femme;G
29,386;Femme;G
51,662;Homme;D
4,787;Femme;A
22,964;Femme;G
27,298;Femme;A
39,632;Femme;A
44,646;Homme;G
8,815;Femme;D
1,653;Femme;G
32,350;Femme;A
45,501;Homme;G
50,194;Femme;G
24,731;Homme;G
3,546;Femme;G
11,566;Femme;G
32,133;Homme;G
41,633;Femme;A
40,887;Homme;G
29,550;Homme;G
23,178;Femme;G
23,688;Femme;G
30,575;Homme;G
